7748789838889768690 False 1.3828277587890625e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
4505929458341398816 False 1.52587890625e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6966714253664802453 False 1.621246337890625e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
553127043327386169 False 1.5497207641601562e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2241499995879473962 False 1.5020370483398438e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3677090799805868439 False 1.5020370483398438e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1571735349961374948 False 1.5020370483398438e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8511501634016998264 False 1.4781951904296875e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7936195755246105022 False 1.430511474609375e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6025400999086175548 False 1.4543533325195312e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1886453410602032497 False 1.52587890625e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2048396090712651114 False 1.4781951904296875e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2901835107980366891 False 1.5497207641601562e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6607844871204655306 False 1.5020370483398438e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3672034666281170415 False 1.4543533325195312e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3166130800208864560 False 1.5735626220703125e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
458755238715461650 False 1.52587890625e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6816045511721702769 False 1.430511474609375e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8138344564052768056 False 1.5735626220703125e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
287174137309072711 False 1.4781951904296875e-05 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8605158801503474075 False 1.4781951904296875e-05 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8974133850627137408 False 1.5020370483398438e-05 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7831781329069000380 False 1.4543533325195312e-05 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1875033530168241558 False 1.430511474609375e-05 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2720855420750758979 False 1.5497207641601562e-05 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3385151753513433959 False 1.52587890625e-05 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3051103188710457173 False 1.4543533325195312e-05 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7351849054441591298 False 1.430511474609375e-05 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
