8466517856233131700 False 2.86102294921875e-06 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2204696902767359988 False 2.6226043701171875e-06 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2518362918416880218 False 3.337860107421875e-06 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
8008846911082411603 False 0.00011706352233886719 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
5900776865633869845 False 0.0001304149627685547 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
4008593638045989427 False 0.00012922286987304688 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
5530204594576965840 False 3.0994415283203125e-06 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2593837031905053001 False 0.00012731552124023438 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7103721365071773597 False 0.00011563301086425781 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
6101471762554816824 False 3.0994415283203125e-06 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
